==========================================================================================================
 REPORTE COMPARATIVO 30 REPETICIONES: Heurística vs Búsqueda Local (LS) vs Búsqueda Local Iterada (ILS)
==========================================================================================================
Archivo                            | Costo H | T. H(s) | Costo LS| T. LS(s)| Costo ILS| T. ILS(s)| Gap H-I%
uf175-053.cnf                      | 23.00   | 0.0003  | 16.00   | 0.0024  | 10.20    | 0.0511   | 55.7 %
uf175-054.cnf                      | 27.00   | 0.0003  | 22.00   | 0.0021  | 8.83     | 0.0557   | 67.3 %
uf175-057.cnf                      | 22.00   | 0.0003  | 14.00   | 0.0024  | 7.00     | 0.0507   | 68.2 %
uf175-055.cnf                      | 30.00   | 0.0003  | 14.00   | 0.0049  | 7.57     | 0.0610   | 74.8 %
uf175-056.cnf                      | 24.00   | 0.0003  | 14.00   | 0.0034  | 7.60     | 0.0576   | 68.3 %
uf175-060.cnf                      | 22.00   | 0.0003  | 14.00   | 0.0027  | 6.47     | 0.0519   | 70.6 %
uf175-058.cnf                      | 23.00   | 0.0003  | 15.00   | 0.0022  | 8.13     | 0.0576   | 64.6 %
uf175-059.cnf                      | 26.00   | 0.0003  | 19.00   | 0.0023  | 9.20     | 0.0621   | 64.6 %
uf175-061.cnf                      | 26.00   | 0.0003  | 15.00   | 0.0022  | 6.33     | 0.0430   | 75.6 %
uf175-062.cnf                      | 29.00   | 0.0003  | 11.00   | 0.0051  | 7.87     | 0.0489   | 72.9 %
uf175-068.cnf                      | 19.00   | 0.0003  | 14.00   | 0.0012  | 7.30     | 0.0454   | 61.6 %
uf175-063.cnf                      | 27.00   | 0.0003  | 13.00   | 0.0038  | 8.77     | 0.0516   | 67.5 %
uf175-069.cnf                      | 20.00   | 0.0003  | 11.00   | 0.0027  | 6.17     | 0.0444   | 69.2 %
uf175-066.cnf                      | 20.00   | 0.0003  | 13.00   | 0.0023  | 8.37     | 0.0503   | 58.2 %
uf175-064.cnf                      | 30.00   | 0.0003  | 18.00   | 0.0025  | 10.27    | 0.0535   | 65.8 %
uf175-067.cnf                      | 31.00   | 0.0003  | 16.00   | 0.0030  | 7.43     | 0.0484   | 76.0 %
uf175-071.cnf                      | 21.00   | 0.0003  | 8.00    | 0.0027  | 6.43     | 0.0447   | 69.4 %
uf175-070.cnf                      | 22.00   | 0.0003  | 15.00   | 0.0023  | 7.07     | 0.0491   | 67.9 %
uf175-065.cnf                      | 33.00   | 0.0003  | 16.00   | 0.0048  | 9.83     | 0.0543   | 70.2 %
uf175-073.cnf                      | 24.00   | 0.0003  | 16.00   | 0.0019  | 10.50    | 0.0494   | 56.2 %
uf175-072.cnf                      | 21.00   | 0.0003  | 11.00   | 0.0029  | 7.10     | 0.0494   | 66.2 %
uf175-074.cnf                      | 22.00   | 0.0003  | 17.00   | 0.0018  | 8.60     | 0.0512   | 60.9 %
uf175-075.cnf                      | 28.00   | 0.0003  | 22.00   | 0.0025  | 9.70     | 0.0553   | 65.4 %
uf175-081.cnf                      | 22.00   | 0.0003  | 11.00   | 0.0026  | 6.13     | 0.0456   | 72.1 %
uf175-078.cnf                      | 23.00   | 0.0003  | 13.00   | 0.0029  | 7.20     | 0.0519   | 68.7 %
uf175-077.cnf                      | 21.00   | 0.0003  | 14.00   | 0.0022  | 7.43     | 0.0539   | 64.6 %
uf175-079.cnf                      | 22.00   | 0.0003  | 15.00   | 0.0018  | 7.30     | 0.0510   | 66.8 %
uf175-076.cnf                      | 33.00   | 0.0003  | 22.00   | 0.0044  | 12.37    | 0.0626   | 62.5 %
uf175-080.cnf                      | 25.00   | 0.0003  | 16.00   | 0.0028  | 6.70     | 0.0546   | 73.2 %
uf175-082.cnf                      | 27.00   | 0.0003  | 14.00   | 0.0032  | 6.87     | 0.0488   | 74.6 %
uf175-090.cnf                      | 17.00   | 0.0003  | 6.00    | 0.0027  | 3.53     | 0.0382   | 79.2 %
uf175-085.cnf                      | 26.00   | 0.0003  | 15.00   | 0.0029  | 9.47     | 0.0475   | 63.6 %
uf175-089.cnf                      | 25.00   | 0.0003  | 18.00   | 0.0023  | 8.20     | 0.0463   | 67.2 %
