Archivo,Exacto,Costo H,T. H(s),Costo TS,T. TS(s),Costo SA,T. SA(s),Costo GRASP,T. GRASP(s),Costo AG,T. AG(s)
n6_i1_N500.cnf,--------,7672,113.634161(0),6402,5.668675(0),7672,0.022294(0),533,10878.625872(0),7646,50.270762(0)
n6_i5_N10000.cnf,--------,7648,113.786560(0),6378,5.729402(0),7648,0.021475(0),509,10976.842159(0),7622,52.459727(0)
